,Accuracy,Precision,Recall,F1,AUC,N,Contamination
MCD,0.8222,0.121,0.11862745098039215,0.1198019801980198,0.5064375081881305,10000.0,0.1
MCD,0.6714,0.176,0.17688442211055277,0.17644110275689223,0.519337762470279,10000.0,0.2
Feature Bagging,0.985,0.1,0.14285714285714285,0.11764705882352941,0.7936987483815278,1000.0,0.01
Feature Bagging,0.921,0.2,0.20408163265306123,0.20202020202020204,0.6779973819180669,1000.0,0.05
Feature Bagging,0.876,0.46,0.39655172413793105,0.425925925925926,0.6984416445623343,1000.0,0.1
Feature Bagging,0.763,0.44,0.4131455399061033,0.42615012106537536,0.6685338630682869,1000.0,0.2
Feature Bagging,0.9835,0.25,0.21739130434782608,0.23255813953488372,0.7516439049064239,2000.0,0.01
Feature Bagging,0.9455,0.4,0.449438202247191,0.42328042328042326,0.8292558164147248,2000.0,0.05
Feature Bagging,0.895,0.465,0.4744897959183674,0.46969696969696967,0.815565749581429,2000.0,0.1
Feature Bagging,0.813,0.5575,0.530952380952381,0.5439024390243903,0.786927365883062,2000.0,0.2
Feature Bagging,0.9863333333333333,0.16666666666666666,0.23809523809523808,0.19607843137254902,0.805191898847488,3000.0,0.01
Feature Bagging,0.9483333333333334,0.49333333333333335,0.48366013071895425,0.4884488448844884,0.8677658629310524,3000.0,0.05
Feature Bagging,0.8896666666666667,0.45666666666666667,0.4491803278688525,0.45289256198347105,0.779355819824204,3000.0,0.1
Feature Bagging,0.831,0.5866666666666667,0.5761047463175123,0.5813377374071015,0.8090134885820787,3000.0,0.2
Feature Bagging,0.98675,0.325,0.3333333333333333,0.32911392405063294,0.9328776079596579,4000.0,0.01
Feature Bagging,0.943,0.495,0.43805309734513276,0.46478873239436624,0.8208351506113089,4000.0,0.05
Feature Bagging,0.91225,0.6,0.5568445475638051,0.5776173285198557,0.8557558350815446,4000.0,0.1
Feature Bagging,0.85225,0.635,0.6294919454770755,0.6322339763534537,0.8398223188814129,4000.0,0.2
Feature Bagging,0.9846,0.38,0.2923076923076923,0.3304347826086957,0.8385192112851687,5000.0,0.01
Feature Bagging,0.947,0.544,0.4738675958188153,0.5065176908752328,0.8675906437158396,5000.0,0.05
Feature Bagging,0.9046,0.554,0.5216572504708098,0.5373423860329777,0.8437096904012114,5000.0,0.1
Feature Bagging,0.8526,0.645,0.6280428432327166,0.6364084854464727,0.8400214103425974,5000.0,0.2
Feature Bagging,0.986,0.36666666666666664,0.3235294117647059,0.34375,0.8861756772837255,6000.0,0.01
Feature Bagging,0.9471666666666667,0.5233333333333333,0.4743202416918429,0.49762282091917587,0.8750180528117354,6000.0,0.05
Feature Bagging,0.914,0.59,0.5673076923076923,0.5784313725490196,0.8559346740499085,6000.0,0.1
Feature Bagging,0.8483333333333334,0.6266666666666667,0.6194398682042833,0.6230323115161558,0.83549699804,6000.0,0.2
Feature Bagging,0.9867142857142858,0.38571428571428573,0.35064935064935066,0.3673469387755102,0.8447523875806411,7000.0,0.01
Feature Bagging,0.9481428571428572,0.52,0.4827586206896552,0.5006877579092159,0.8625711941065438,7000.0,0.05
Feature Bagging,0.9172857142857143,0.5914285714285714,0.5855728429985856,0.5884861407249468,0.8571567923857832,7000.0,0.1
Feature Bagging,0.8525714285714285,0.6307142857142857,0.6316165951359084,0.6311651179413866,0.8401887686749929,7000.0,0.2
Feature Bagging,0.9855,0.3125,0.29069767441860467,0.3012048192771084,0.9197888933946906,8000.0,0.01
Feature Bagging,0.948,0.49,0.4803921568627451,0.4851485148514851,0.8546044339759087,8000.0,0.05
Feature Bagging,0.91475,0.56625,0.5748730964467005,0.570528967254408,0.8505962285080421,8000.0,0.1
Feature Bagging,0.85425,0.629375,0.6373417721518987,0.6333333333333334,0.8503584526203715,8000.0,0.2
Feature Bagging,0.9868888888888889,0.3888888888888889,0.35714285714285715,0.3723404255319149,0.8653168973722942,9000.0,0.01
Feature Bagging,0.9485555555555556,0.52,0.4864864864864865,0.5026852846401719,0.8640412198341534,9000.0,0.05
Feature Bagging,0.9112222222222223,0.5766666666666667,0.5538954108858057,0.5650517147523136,0.8522600370534548,9000.0,0.1
Feature Bagging,0.8553333333333333,0.635,0.639261744966443,0.637123745819398,0.8399713812797712,9000.0,0.2
Feature Bagging,0.9849,0.26,0.2524271844660194,0.2561576354679803,0.8752598365102302,10000.0,0.01
Feature Bagging,0.953,0.536,0.5296442687747036,0.532803180914513,0.8743310732553365,10000.0,0.05
Feature Bagging,0.9154,0.587,0.5754901960784313,0.5811881188118811,0.8591537840080353,10000.0,0.1
Feature Bagging,0.8544,0.6335,0.6366834170854271,0.6350877192982456,0.8417582293489922,10000.0,0.2
ABOD,0.991,0.4,0.5714285714285714,0.47058823529411764,0.8384405121565243,1000.0,0.01
ABOD,0.951,0.5,0.5102040816326531,0.5050505050505051,0.8639241185433164,1000.0,0.05
ABOD,0.886,0.51,0.4396551724137931,0.4722222222222222,0.7804552192229677,1000.0,0.1
ABOD,0.833,0.615,0.5774647887323944,0.5956416464891042,0.7841807302945158,1000.0,0.2
ABOD,0.9845,0.3,0.2608695652173913,0.27906976744186046,0.7251215060148225,2000.0,0.01
ABOD,0.9545,0.49,0.550561797752809,0.5185185185185186,0.8438725533428583,2000.0,0.05
ABOD,0.919,0.585,0.5969387755102041,0.5909090909090908,0.847835309290013,2000.0,0.1
ABOD,0.833,0.6075,0.5785714285714286,0.5926829268292684,0.7903767329716697,2000.0,0.2
ABOD,0.9863333333333333,0.16666666666666666,0.23809523809523808,0.19607843137254902,0.8770600553077895,3000.0,0.01
ABOD,0.9536666666666667,0.5466666666666666,0.5359477124183006,0.5412541254125411,0.8661588508486171,3000.0,0.05
ABOD,0.8923333333333333,0.47,0.46229508196721314,0.46611570247933887,0.7717911128683961,3000.0,0.1
